state,Date,Frequency,unemp_rate,employed,lpr,Region.1,longitude,latitude,year,month,month_name,period,unemp_roll3
Andhra Pradesh,2020-01-31,Monthly,5.48,16635535,41.02,South,15.9129,79.74,2020,1,January,pre_covid,5.48
Andhra Pradesh,2020-02-29,Monthly,5.83,16545652,40.9,South,15.9129,79.74,2020,2,February,pre_covid,5.655
Andhra Pradesh,2020-03-31,Monthly,5.79,15881197,39.18,South,15.9129,79.74,2020,3,March,covid,5.7
Andhra Pradesh,2020-04-30,Monthly,20.51,11336911,33.1,South,15.9129,79.74,2020,4,April,covid,10.71
Andhra Pradesh,2020-05-31,Monthly,17.43,12988845,36.46,South,15.9129,79.74,2020,5,May,covid,14.576666666666668
Andhra Pradesh,2020-06-30,Monthly,3.31,19805400,47.41,South,15.9129,79.74,2020,6,June,covid,13.750000000000002
Andhra Pradesh,2020-07-31,Monthly,8.34,15431615,38.91,South,15.9129,79.74,2020,7,July,covid,9.693333333333333
Andhra Pradesh,2020-08-31,Monthly,6.96,15251776,37.83,South,15.9129,79.74,2020,8,August,covid,6.203333333333333
Andhra Pradesh,2020-09-30,Monthly,6.4,15220312,37.47,South,15.9129,79.74,2020,9,September,covid,7.233333333333333
Andhra Pradesh,2020-10-31,Monthly,6.59,15157557,37.34,South,15.9129,79.74,2020,10,October,covid,6.6499999999999995
Assam,2020-01-31,Monthly,4.66,13051904,52.98,Northeast,26.2006,92.9376,2020,1,January,pre_covid,4.66
Assam,2020-02-29,Monthly,4.41,10088268,40.77,Northeast,26.2006,92.9376,2020,2,February,pre_covid,4.535
Assam,2020-03-31,Monthly,4.77,11542888,46.73,Northeast,26.2006,92.9376,2020,3,March,covid,4.613333333333333
Assam,2020-04-30,Monthly,11.06,6830817,29.55,Northeast,26.2006,92.9376,2020,4,April,covid,6.746666666666667
Assam,2020-05-31,Monthly,9.55,11367897,48.26,Northeast,26.2006,92.9376,2020,5,May,covid,8.46
Assam,2020-06-30,Monthly,0.6,9095944,35.07,Northeast,26.2006,92.9376,2020,6,June,covid,7.07
Assam,2020-07-31,Monthly,3.77,10286757,40.88,Northeast,26.2006,92.9376,2020,7,July,covid,4.640000000000001
Assam,2020-08-31,Monthly,5.53,9781310,39.52,Northeast,26.2006,92.9376,2020,8,August,covid,3.3000000000000003
Assam,2020-09-30,Monthly,1.19,14107641,54.38,Northeast,26.2006,92.9376,2020,9,September,covid,3.4966666666666666
Assam,2020-10-31,Monthly,3.02,11949329,46.84,Northeast,26.2006,92.9376,2020,10,October,covid,3.2466666666666666
Bihar,2020-01-31,Monthly,10.61,26397671,37.72,East,25.0961,85.3131,2020,1,January,pre_covid,10.61
Bihar,2020-02-29,Monthly,10.29,26281655,37.35,East,25.0961,85.3131,2020,2,February,pre_covid,10.45
Bihar,2020-03-31,Monthly,15.43,25717519,38.69,East,25.0961,85.3131,2020,3,March,covid,12.11
Bihar,2020-04-30,Monthly,46.64,16046236,38.17,East,25.0961,85.3131,2020,4,April,covid,24.12
Bihar,2020-05-31,Monthly,45.96,16280203,38.16,East,25.0961,85.3131,2020,5,May,covid,36.01
Bihar,2020-06-30,Monthly,17.82,23963933,36.86,East,25.0961,85.3131,2020,6,June,covid,36.806666666666665
Bihar,2020-07-31,Monthly,12.79,24989370,36.14,East,25.0961,85.3131,2020,7,July,covid,25.52333333333333
Bihar,2020-08-31,Monthly,13.44,23795534,34.59,East,25.0961,85.3131,2020,8,August,covid,14.683333333333332
Bihar,2020-09-30,Monthly,11.91,26902907,38.35,East,25.0961,85.3131,2020,9,September,covid,12.713333333333333
Bihar,2020-10-31,Monthly,9.82,25693252,35.7,East,25.0961,85.3131,2020,10,October,covid,11.723333333333334
Chhattisgarh,2020-01-31,Monthly,9.65,8552172,43.08,West,21.2787,81.8661,2020,1,January,pre_covid,9.65
Chhattisgarh,2020-02-29,Monthly,8.38,9195114,45.58,West,21.2787,81.8661,2020,2,February,pre_covid,9.015
Chhattisgarh,2020-03-31,Monthly,7.54,9302317,45.59,West,21.2787,81.8661,2020,3,March,covid,8.523333333333333
Chhattisgarh,2020-04-30,Monthly,3.41,7600448,35.58,West,21.2787,81.8661,2020,4,April,covid,6.443333333333334
Chhattisgarh,2020-05-31,Monthly,10.5,6991217,35.23,West,21.2787,81.8661,2020,5,May,covid,7.150000000000001
Chhattisgarh,2020-06-30,Monthly,14.23,7332807,38.48,West,21.2787,81.8661,2020,6,June,covid,9.38
Chhattisgarh,2020-07-31,Monthly,10.27,8620294,43.14,West,21.2787,81.8661,2020,7,July,covid,11.666666666666666
Chhattisgarh,2020-08-31,Monthly,5.63,9050422,42.97,West,21.2787,81.8661,2020,8,August,covid,10.043333333333335
Chhattisgarh,2020-09-30,Monthly,1.96,9021854,41.14,West,21.2787,81.8661,2020,9,September,covid,5.953333333333333
Chhattisgarh,2020-10-31,Monthly,6.62,8546847,40.82,West,21.2787,81.8661,2020,10,October,covid,4.736666666666667
Delhi,2020-01-31,Monthly,22.23,5805284,47.79,North,28.7041,77.1025,2020,1,January,pre_covid,22.23
Delhi,2020-02-29,Monthly,14.84,5856307,43.92,North,28.7041,77.1025,2020,2,February,pre_covid,18.535
Delhi,2020-03-31,Monthly,17.04,5553805,42.65,North,28.7041,77.1025,2020,3,March,covid,18.036666666666665
Delhi,2020-04-30,Monthly,16.68,3119274,23.8,North,28.7041,77.1025,2020,4,April,covid,16.186666666666667
Delhi,2020-05-31,Monthly,42.27,2632404,28.91,North,28.7041,77.1025,2020,5,May,covid,25.33
Delhi,2020-06-30,Monthly,18.19,4418914,34.17,North,28.7041,77.1025,2020,6,June,covid,25.713333333333335
Delhi,2020-07-31,Monthly,20.3,4291053,33.97,North,28.7041,77.1025,2020,7,July,covid,26.919999999999998
Delhi,2020-08-31,Monthly,13.79,4850107,35.41,North,28.7041,77.1025,2020,8,August,covid,17.426666666666666
Delhi,2020-09-30,Monthly,12.53,4958373,35.59,North,28.7041,77.1025,2020,9,September,covid,15.540000000000001
Delhi,2020-10-31,Monthly,6.27,4842698,32.36,North,28.7041,77.1025,2020,10,October,covid,10.863333333333332
Goa,2020-01-31,Monthly,8.89,416750,35.73,West,15.2993,74.124,2020,1,January,pre_covid,8.89
Goa,2020-02-29,Monthly,2.81,478068,38.38,West,15.2993,74.124,2020,2,February,pre_covid,5.8500000000000005
Goa,2020-03-31,Monthly,5.25,411761,33.88,West,15.2993,74.124,2020,3,March,covid,5.650000000000001
Goa,2020-04-30,Monthly,13.31,500614,44.97,West,15.2993,74.124,2020,4,April,covid,7.123333333333334
Goa,2020-05-31,Monthly,21.25,378244,37.36,West,15.2993,74.124,2020,5,May,covid,13.270000000000001
Goa,2020-06-30,Monthly,9.96,489111,42.21,West,15.2993,74.124,2020,6,June,covid,14.840000000000002
Goa,2020-07-31,Monthly,17.07,458876,42.94,West,15.2993,74.124,2020,7,July,covid,16.093333333333334
Goa,2020-08-31,Monthly,16.21,473016,43.76,West,15.2993,74.124,2020,8,August,covid,14.413333333333334
Goa,2020-09-30,Monthly,15.38,425004,38.89,West,15.2993,74.124,2020,9,September,covid,16.220000000000002
Goa,2020-10-31,Monthly,11.54,392304,34.3,West,15.2993,74.124,2020,10,October,covid,14.376666666666667
Gujarat,2020-01-31,Monthly,5.54,24126346,48.49,West,22.2587,71.1924,2020,1,January,pre_covid,5.54
Gujarat,2020-02-29,Monthly,6.38,24757795,50.11,West,22.2587,71.1924,2020,2,February,pre_covid,5.96
Gujarat,2020-03-31,Monthly,6.66,23566641,47.75,West,22.2587,71.1924,2020,3,March,covid,6.1933333333333325
Gujarat,2020-04-30,Monthly,18.71,15288878,35.5,West,22.2587,71.1924,2020,4,April,covid,10.583333333333334
Gujarat,2020-05-31,Monthly,12.11,17836936,38.23,West,22.2587,71.1924,2020,5,May,covid,12.493333333333332
Gujarat,2020-06-30,Monthly,3.2,23657055,45.96,West,22.2587,71.1924,2020,6,June,covid,11.340000000000002
Gujarat,2020-07-31,Monthly,1.84,24276120,46.41,West,22.2587,71.1924,2020,7,July,covid,5.716666666666666
Gujarat,2020-08-31,Monthly,1.87,22817232,43.55,West,22.2587,71.1924,2020,8,August,covid,2.3033333333333332
Gujarat,2020-09-30,Monthly,3.42,25010199,48.41,West,22.2587,71.1924,2020,9,September,covid,2.3766666666666665
Gujarat,2020-10-31,Monthly,4.03,25970259,50.49,West,22.2587,71.1924,2020,10,October,covid,3.106666666666667
Haryana,2020-01-31,Monthly,20.34,7693231,43.36,North,29.0588,76.0856,2020,1,January,pre_covid,20.34
Haryana,2020-02-29,Monthly,25.77,7322942,44.21,North,29.0588,76.0856,2020,2,February,pre_covid,23.055
Haryana,2020-03-31,Monthly,25.05,6641555,39.63,North,29.0588,76.0856,2020,3,March,covid,23.72
Haryana,2020-04-30,Monthly,43.22,5647630,44.38,North,29.0588,76.0856,2020,4,April,covid,31.346666666666664
Haryana,2020-05-31,Monthly,29.02,6437868,40.39,North,29.0588,76.0856,2020,5,May,covid,32.43
Haryana,2020-06-30,Monthly,26.7,6951934,42.14,North,29.0588,76.0856,2020,6,June,covid,32.98
Haryana,2020-07-31,Monthly,24.18,6800652,39.77,North,29.0588,76.0856,2020,7,July,covid,26.633333333333336
Haryana,2020-08-31,Monthly,33.5,7113788,47.32,North,29.0588,76.0856,2020,8,August,covid,28.126666666666665
Haryana,2020-09-30,Monthly,19.68,7132439,39.2,North,29.0588,76.0856,2020,9,September,covid,25.786666666666665
