state,unemp_rate
Haryana,27.476999999999997
Tripura,25.055
Jharkhand,19.538999999999998
Bihar,19.471
Delhi,18.414
Puducherry,17.942
Jammu & Kashmir,16.477777777777778
Himachal Pradesh,16.065
Rajasthan,15.868
Tamil Nadu,12.187
Goa,12.167
Punjab,11.981
Uttarakhand,11.156
West Bengal,10.192
Sikkim,9.7925
Uttar Pradesh,9.737
Kerala,9.434000000000001
Andhra Pradesh,8.664
Maharashtra,7.979000000000001
Chhattisgarh,7.819
Karnataka,7.667999999999999
Madhya Pradesh,6.854000000000001
Telangana,6.833
Odisha,6.462000000000001
Gujarat,6.3759999999999994
Assam,4.856
Meghalaya,3.8659999999999997
